Simplified Chinese,Pinyin,Meaning,Audio
爱,ài,"to love, to be fond of, to like, affection, to be inclined (to do sth), to tend to (happen)",[sound:爱.mp3]
爱好,àihǎo,"to like, to take pleasure in, keen on, fond of, interest, hobby, appetite for, CL:個|个[ge4]",[sound:爱好.mp3]
八,bā,"eight, 8",[sound:八.mp3]
爸爸,bàbà,"(informal) father, CL:個|个[ge4],位[wei4]",[sound:爸爸.mp3]
吧,ba,"(modal particle indicating suggestion or surmise), ...right?, ...OK?, ...I presume.",[sound:吧.mp3]
白,bái,"white, snowy, pure, bright, empty, blank, plain, clear, to make clear, in vain, gratuitous, free of charge, reactionary, anti-communist, funeral, to stare coldly, to write wrong character, to state, to explain, vernacular, spoken lines in opera",[sound:白.mp3]
白天,báitiān,"daytime, during the day, day, CL:個|个[ge4]",[sound:白天.mp3]
百,bǎi,"hundred, numerous, all kinds of",[sound:百.mp3]
班,bān,"team, class, squad, work shift, ranking, CL:個|个[ge4], classifier for groups",[sound:班.mp3]
半,bàn,"half, semi-, incomplete, (after a number) and a half",[sound:半.mp3]
半年,bànnián,half a year,[sound:半年.mp3]
半天,bàntiān,"half of the day, a long time, quite a while, midair, CL:個|个[ge4]",[sound:半天.mp3]
帮,bāng,"to help, to assist, to support, for sb (i.e. as a help), hired (as worker), side (of pail, boat etc), outer layer, upper (of a shoe), group, gang, clique, party, secret society",[sound:帮.mp3]
帮忙,bāngmáng,"to help, to lend a hand, to do a favor, to do a good turn",[sound:帮忙.mp3]
包,bāo,"to cover, to wrap, to hold, to include, to take charge of, to contract (to or for), package, wrapper, container, bag, to hold or embrace, bundle, packet, CL:個|个[ge4],隻|只[zhi1]",[sound:包.mp3]
包子,bāozǐ,"steamed stuffed bun, CL:個|个[ge4]",[sound:包子.mp3]
杯,bēi,"variant of 杯[bei1], trophy cup, classifier for certain containers of liquids: glass, cup",[sound:杯.mp3]
杯子,bēizǐ,"cup, glass, CL:個|个[ge4],支[zhi1],枝[zhi1]",[sound:杯子.mp3]
北,běi,"north, to be defeated (classical)",[sound:北.mp3]
北边,běibiān,"north, north side, northern part, to the north of",[sound:北边.mp3]
北京,běijīng,"Beijing, capital of People's Republic of China, Peking, PRC government",[sound:北京.mp3]
本,běn,"root, stem, origin, source, this, the current, original, inherent, originally, classifier for books, periodicals, files etc",[sound:本.mp3]
本子,běnzǐ,"book, notebook, edition, CL:本[ben3]",[sound:本子.mp3]
比,bǐ,"to associate with, to be near",[sound:比.mp3]
别,bié,"to make sb change their ways, opinions etc",[sound:别.mp3]
别的,biéde,"else, other",[sound:别的.mp3]
别人,biérén,"other people, others, other person",[sound:别人.mp3]
病,bìng,"illness, CL:場|场[chang2], disease, to fall ill, defect",[sound:病.mp3]
病人,bìngrén,"sick person, patient, invalid, CL:個|个[ge4]",[sound:病人.mp3]
不大,bùdà,"not very, not too, not often",[sound:不大.mp3]
不对,bùdùi,"incorrect, wrong, amiss, abnormal, queer",[sound:不对.mp3]
不客气,bùkèqì,"you're welcome, don't mention it, impolite, rude, blunt",[sound:不客气.mp3]
不用,bùyòng,need not,[sound:不用.mp3]
不,bù,"(negative prefix), not, no",[sound:不.mp3]
菜,cài,"dish (type of food), vegetable, cuisine, CL:盤|盘[pan2],道[dao4], (coll.) (one's) type",[sound:菜.mp3]
茶,chá,"tea, tea plant, CL:杯[bei1],壺|壶[hu2]",[sound:茶.mp3]
差,chà,"to send, to commission, messenger, mission",[sound:差.mp3]
常,cháng,"always, ever, often, frequently, common, general, constant",[sound:常.mp3]
常常,chángcháng,"frequently, usually, often",[sound:常常.mp3]
唱,chàng,"to sing, to call loudly, to chant",[sound:唱.mp3]
唱歌,chànggē,to sing a song,[sound:唱歌.mp3]
车,chē,car,[sound:车.mp3]
车票,chēpiào,ticket (for a bus or train),[sound:车票.mp3]
车上,chēshàng,in the car,[sound:车上.mp3]
车站,chēzhàn,"rail station, bus stop, CL:處|处[chu4],個|个[ge4]",[sound:车站.mp3]
吃,chī,variant of 吃[chi1],[sound:吃.mp3]
吃饭,chīfàn,"to have a meal, to eat, to make a living",[sound:吃饭.mp3]
出,chū,variant of 出[chu1] (classifier for plays or chapters of classical novels),[sound:出.mp3]
出来,chūlái,"(after a verb, indicates coming out, completion of an action, or ability to discern or detect)",[sound:出来.mp3]
出去,chūqù,to go out,[sound:出去.mp3]
穿,chuān,"to wear, to put on, to dress, to bore through, to pierce, to perforate, to penetrate, to pass through, to thread",[sound:穿.mp3]
床,chuáng,variant of 床[chuang2],[sound:床.mp3]
次,cì,"next in sequence, second, the second (day, time etc), secondary, vice-, sub-, infra-, inferior quality, substandard, order, sequence, hypo- (chemistry), classifier for enumerated events: time",[sound:次.mp3]
从,cóng,second cousin,[sound:从.mp3]
错,cuò,"mistake, wrong, bad, interlocking, complex, to grind, to polish, to alternate, to stagger, to miss, to let slip, to evade, to inlay with gold or silver",[sound:错.mp3]
打,dǎ,"to beat, to strike, to hit, to break, to type, to mix up, to build, to fight, to fetch, to make, to tie up, to issue, to shoot, to calculate, to play (a game), since, from",[sound:打.mp3]
打车,dǎchē,"to take a taxi (in town), to hitch a lift",[sound:打车.mp3]
打电话,dǎdiànhuà,to make a telephone call,[sound:打电话.mp3]
打开,dǎkāi,"to open, to show (a ticket), to turn on, to switch on",[sound:打开.mp3]
打球,dǎqíu,"to play ball, to play with a ball",[sound:打球.mp3]
大,dà,see 大夫[dai4 fu5],[sound:大.mp3]
大学,dàxué,"university, college, CL:所[suo3]",[sound:大学.mp3]
大学生,dàxuéshēng,"university student, college student",[sound:大学生.mp3]
到,dào,"to (a place), until (a time), up to, to go, to arrive, (verb complement denoting completion or result of an action)",[sound:到.mp3]
得到,dédào,"to get, to obtain, to receive",[sound:得到.mp3]
"地 neutral tone",de,makes the preceding word an adverb,[sound:地1.mp3]
的,de,"aim, clear",[sound:的.mp3]
等,děng,"class, rank, grade, equal to, same as, to wait for, to await, et cetera, and so on, et al. (and other authors), after, as soon as, once",[sound:等.mp3]
"地 fourth tone",dì,"earth, ground, field, place, land, CL:片[pian4]",[sound:地2.mp3]
地点,dìdiǎn,"place, site, location, venue, CL:個|个[ge4]",[sound:地点.mp3]
地方,dìfāng,"area, place, space, room, territory, CL:處|处[chu4],個|个[ge4],塊|块[kuai4]",[sound:地方.mp3]
地上,dìshàng,"on the ground, on the floor",[sound:地上.mp3]
地图,dìtú,"map, CL:張|张[zhang1],本[ben3]",[sound:地图.mp3]
弟弟,dìdì,"younger brother, CL:個|个[ge4],位[wei4]",[sound:弟弟.mp3]
